name	smarts	keep_atoms	add_atoms	protected_smiles	cleaved_smiles	decoys	policy	decoy_scope
amine_tosyl	[N;D2,D3;+0:1]-;!@[S;D4;y3;+0](=[O;+0])(=[O;+0])-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D3;y0;+0]([C;D1;+0]):[C;D2;+0]:[C;D2;+0]:1	[1]	[]	Cc1ccc(cc1)S(=O)(=O)Nc1ccccc1	c1ccccc1N	[]	conservative	per_rule
amine_nosyl	[N;D2,D3;+0:1]-;!@[S;D4;y3;+0](=[O;+0])(=[O;+0])-[C;a;r6;+0]:1:[C;D3;y1;+0]([N+](=[O;+0])[O-]):[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	[O-][N+](=O)c1ccccc1S(=O)(=O)Nc1ccccc1	c1ccccc1N	[]	conservative	per_rule
amine_boc	[N;D2,D3;+0:1]-;!@[C;z2;y3;+0](=[O;+0])-[O;D2;y0;+0]-[C;D4;y1;z1;+0]([C;D1;+0])([C;D1;+0])[C;D1;+0]	[1]	[]	c1ccccc1NC(=O)OC(C)(C)C	c1ccccc1N	[]	conservative	per_rule
amine_tfa	[N;D2,D3;+0:1]-;!@[C;z2;y2;+0](=[O;+0])-[C;D4;z1;y3;+0]([F;+0])([F;+0])[F;+0]	[1]	[]	CNC(=O)C(F)(F)F	CN	[]	conservative	per_rule
amine_fmoc	[N;D2,D3;+0:1]-;!@[C;z2;y3;+0](=[O;+0])[O;D2;y0;+0]-[C;D2;y1;z1;+0][C;D3;z1;y0;r5;+0]1[C;a;r6;+0]:2:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D3;+0]:2-[C;a;r6;+0]:3:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;+0]1:3	[1]	[]	O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc12	c1ccccc1N	[]	conservative	per_rule
amine_pbf	[N;D2,D3;+0:1]-;!@[S;D4;y3;+0](=[O;+0])(=[O;+0])-[C;a;r6;+0]:1:[C;D3;y0;+0]([C;D1;+0]):[C;D3;y0;+0]([C;D1;+0]):[C;D3;y1;+0]:2-[O;D2;y0;r5;+0][C;D4;y1;+0]([C;D1;+0])([C;D1;+0])[C;D2;y0;z1;+0][C;D3;+0]:2:[C;D3;y0;+0]([C;D1;+0]):1	[1]	[]	CN(C)S(=O)(=O)c1c(C)c2CC(C)(C)Oc2c(C)c1C	CNC	[]	conservative	per_rule
amine_mtr	[N;D2,D3;+0:1]-;!@[S;D4;y3;+0](=[O;+0])(=[O;+0])-[C;a;r6;+0]:1:[C;D3;y0;+0]([C;D1;+0]):[C;D3;y0;+0]([C;D1;+0]):[C;D3;y1;+0](-;!@[O;D2;y0;+0][C;D1;+0]):[C;D2;+0]:[C;D3;y0;+0]([C;D1;+0]):1	[1]	[]	COC1=C(C)C(C)=C(C(C)=C1)S(=O)(=O)N(C)C	CNC	[]	conservative	per_rule
amine_dde_enamine	[N;D2,D3;+0:1]-;!@[C;z2;y1;D3;+0]([C;D1;+0])=[C;D3;r6;y0;z2;+0]1[C;y1;z2;D3;+0](=[O;+0])[C;D2;+0][C;D4;y0;z1;+0]([C;D1;+0])([C;D1;+0])[C;D2;+0][C;D3;y1;z2;+0]1=[O;+0]	[1]	[]	CC(C)NC(C)=C1C(=O)CC(C)(C)CC1=O	CC(C)N	[]	conservative	per_rule
amine_dde_imine	[N;D2;+0:1]=;!@[C;y1;D3;+0]([C;D1;+0])-[C;D3;r6;y0;z1;+0]1[C;y1;z2;D3;+0](=[O;+0])[C;D2;+0][C;D4;y0;z1;+0]([C;D1;+0])([C;D1;+0])[C;D2;+0][C;D3;y1;z2;+0]1=[O;+0]	[1]	[]	CC(C)N=C(C)C1C(=O)CC(C)(C)CC1=O	CC(C)N	[]	conservative	per_rule
amine_ivdde_enamine	[N;D2,D3;+0:1]-;!@[C;z2;y1;D3;+0]([C;D2;y0;z1;+0][C;D3;y0;z1;+0]([C;D1;+0])[C;D1;+0])=[C;D3;r6;y0;z2;+0]1[C;y1;z2;D3;+0](=[O;+0])[C;D2;+0][C;D4;y0;z1;+0]([C;D1;+0])([C;D1;+0])[C;D2;+0][C;D3;y1;z2;+0]1=[O;+0]	[1]	[]	CC(C)CC(NC(C)C)=C1C(=O)CC(C)(C)CC1=O	CC(C)N	[]	conservative	per_rule
