rule_name	reaction_class	smarts	atoms_to_keep	atoms_to_add	protected_example	cleaved_example	decoys	h2o	bases	nucleophiles	electrophiles	reduction	oxidation	p_mol
amine_chloro_tritil	amine	[N;D2,D3:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D3;x1]([Cl;D1]):[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	CC(C)NC(c1c(Cl)cccc1)(c1ccccc1)c1ccccc1	CC(C)N	[]	None	None	None	None	None	None	ClC(c1ccccc1Cl)(c1ccccc1)c1ccccc1
amine_dde_enamine	amine	[N;D2,D3:1]-;!@[C;z2;x1;D3]([C;D1])=[C;D3;r6;x0;z2]1[C;x1;z2;D3](=O)[C;D2][C;D4;x0;z1]([C;D1])([C;D1])[C;D2][C;D3;x1;z2]1=O	[1]	[]	CC(C)NC(C)=C1C(=O)CC(C)(C)CC1=O	CC(C)N	[]	None	None	None	None	None	None	CC(=O)C1C(=O)CC(C)(C)CC1=O
amine_dde_imine	amine	[N;D2:1]=;!@[C;x1;D3]([C;D1])-[C;D3;r6;x0;z1]1[C;x1;z2;D3](=O)[C;D2][C;D4;x0;z1]([C;D1])([C;D1])[C;D2][C;D3;x1;z2]1=O	[1]	[]	CC(C)N=C(C)C1C(=O)CC(C)(C)CC1=O	CC(C)N	[]	None	None	None	None	None	None	CC(=O)C1C(=O)CC(C)(C)CC1=O
amine_dimethoxybenzyl	amine	[N;D2,D3:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1	[1]	[]	CC(C)NCc1c(OC)cc(OC)cc1	CC(C)N	[]	None	None	None	None	None	None	ClCc1c(OC)cc(OC)cc1
amine_ethylcarbamate	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0][C;D2;x1;z1][C;D1]	[1]	[]	c1ccccc1NC(=O)OCC	c1ccccc1N	[]	None	None	None	None	None	None	CCOC(=O)Cl
amine_fmoc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2;x1;z1][C;D3;z1;x0;r5]1[C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D3]:2-[C;a;r6]:3:[C;D2]:[C;D2]:[C;D2]:[C;D2]:C1:3	[1]	[]	O=C(Nc1ccccc1)OCC1c2ccccc2-c2ccccc12	c1ccccc1N	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 1, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 1, 'pH > 12, 100°C': 2}	{'LDA': 0, 'NEt3, Py': 1, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 2, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 2, 'NaOCH3': 1}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 2, 'Zn / HCl': 0, 'Na / NH3': 2, 'LiAlH4': 1, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 2, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	O=C(Cl)OCC1c2ccccc2-c2ccccc21
amine_ivdde_enamine	amine	[N;D2,D3:1]-;!@[C;z2;x1;D3]([C;D2;x0;z1][C;D3;x0;z1]([C;D1])[C;D1])=[C;D3;r6;x0;z2]1[C;x1;z2;D3](=O)[C;D2][C;D4;x0;z1]([C;D1])([C;D1])[C;D2][C;D3;x1;z2]1=O	[1]	[]	CC(C)CC(NC(C)C)=C1C(=O)CC(C)(C)CC1=O	CC(C)N	[]	None	None	None	None	None	None	CC(C)CC(=O)C1C(=O)CC(C)(C)CC1=O
amine_ivdde_imine	amine	[N;D2:1]=;!@[C;x1;D3]([C;D2;x0;z1][C;D3;x0;z1]([C;D1])[C;D1])-[C;D3;r6;x0;z1]1[C;x1;z2;D3](=O)[C;D2][C;D4;x0;z1]([C;D1])([C;D1])[C;D2][C;D3;x1;z2]1=O	[1]	[]	CC(C)CC(=NC(C)C)C1C(=O)CC(C)(C)CC1=O	CC(C)N	[]	None	None	None	None	None	None	CC(C)CC(=O)C1C(=O)CC(C)(C)CC1=O
amine_methoxy_benzyl	amine	[N;D2,D3:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1	[1]	[]	CC(C)NCc1ccc(OC)cc1	CC(C)N	[]	None	None	None	None	None	None	COc1ccc(CCl)cc1
amine_methylcarbamate	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0][C;D1]	[1]	[]	c1ccccc1NC(=O)OC	c1ccccc1N	"[""c1ccccc1NC(=O)OCC""]"	None	None	None	None	None	None	COC(=O)Cl
amine_mtr	amine	[N;D2,D3:1]-;!@[S;D4;x3](=O)(=O)-[C;a;r6]:1:[C;D3;x0]([C;D1]):[C;D3;x0]([C;D1]):[C;D3;x1](-;!@[O;D2;x0][C;D1]):[C;D2]:[C;D3;x0]([C;D1]):1	[1]	[]	COC1=C(C)C(C)=C(C(C)=C1)S(=O)(=O)N(C)C	CNC	[]	None	None	None	None	None	None	COc1c(C)c(C)c(S(=O)(=O)Cl)c(C)c1
